country,region,city,hotel_count,cityid,url
Andorra,Andorra,Andorra,184,20,http://www.sletoh.com/book/Andorra-hotels-20.html
Andorra,Andorra,Andorra la Vella,42,268380,http://www.sletoh.com/book/Andorra-la-Vella-hotels-268380.html
Andorra,Andorra,Arinsal,13,268384,http://www.sletoh.com/book/Arinsal-hotels-268384.html
Andorra,Andorra,Canillo,13,268373,http://www.sletoh.com/book/Canillo-hotels-268373.html
Andorra,Andorra,El Serrat,5,268389,http://www.sletoh.com/book/El-Serrat-hotels-268389.html
Andorra,Andorra,El Tarter,4,268390,http://www.sletoh.com/book/El-Tarter-hotels-268390.html
Andorra,Andorra,Encamp,13,268374,http://www.sletoh.com/book/Encamp-hotels-268374.html
Andorra,Andorra,Erts,4,268395,http://www.sletoh.com/book/Erts-hotels-268395.html
Andorra,Andorra,Escaldes-Engordany,19,268396,http://www.sletoh.com/book/Escaldes-Engordany-hotels-268396.html
Andorra,Andorra,La Cortinada,3,268400,http://www.sletoh.com/book/La-Cortinada-hotels-268400.html
Andorra,Andorra,La Massana,11,268402,http://www.sletoh.com/book/La-Massana-hotels-268402.html
Andorra,Andorra,Ordino,8,268413,http://www.sletoh.com/book/Ordino-hotels-268413.html
Andorra,Andorra,Pas de la Casa,24,268415,http://www.sletoh.com/book/Pas-de-la-Casa-hotels-268415.html
Andorra,Andorra,Sant Julia de Loria,6,268420,http://www.sletoh.com/book/Sant-Julia-de-Loria-hotels-268420.html
Andorra,Andorra,Soldeu,16,268425,http://www.sletoh.com/book/Soldeu-hotels-268425.html
Australia,Australia,Australia,1753,36,http://www.sletoh.com/book/Australia-hotels-36.html
Australia,Australia,Australian Capital Territory,35,284360,http://www.sletoh.com/book/Australian-Capital-Territory-hotels-284360.html
Australia,Australia,Long Island,3,419810,http://www.sletoh.com/book/Long-Island-hotels-419810.html
Australia,Australia,New South Wales,463,284361,http://www.sletoh.com/book/New-South-Wales-hotels-284361.html
Australia,Australia,Northern Territory,49,284362,http://www.sletoh.com/book/Northern-Territory-hotels-284362.html
Australia,Australia,Queensland,502,284363,http://www.sletoh.com/book/Queensland-hotels-284363.html
Australia,Australia,South Australia,83,284364,http://www.sletoh.com/book/South-Australia-hotels-284364.html
Australia,Australia,Tasmania,83,284365,http://www.sletoh.com/book/Tasmania-hotels-284365.html
Australia,Australia,Victoria,385,284366,http://www.sletoh.com/book/Victoria-hotels-284366.html
Australia,Australia,Western Australia,143,284367,http://www.sletoh.com/book/Western-Australia-hotels-284367.html
Australia,Australian Capital Territory,Canberra,31,285911,http://www.sletoh.com/book/Canberra-hotels-285911.html
Australia,Australian Capital Territory,Canberra Capital Hill,4,285912,http://www.sletoh.com/book/Canberra-Capital-Hill-hotels-285912.html
Australia,New South Wales,Albury,9,284420,http://www.sletoh.com/book/Albury-hotels-284420.html
Australia,New South Wales,Armidale,4,284575,http://www.sletoh.com/book/Armidale-hotels-284575.html
Australia,New South Wales,Ballina,3,284734,http://www.sletoh.com/book/Ballina-hotels-284734.html
Australia,New South Wales,Bankstown,3,284775,http://www.sletoh.com/book/Bankstown-hotels-284775.html
Australia,New South Wales,Batemans Bay,4,284861,http://www.sletoh.com/book/Batemans-Bay-hotels-284861.html
Australia,New South Wales,Bathurst,3,284864,http://www.sletoh.com/book/Bathurst-hotels-284864.html
Australia,New South Wales,Broken Hill,3,285524,http://www.sletoh.com/book/Broken-Hill-hotels-285524.html
Australia,New South Wales,Byron Bay,7,285818,http://www.sletoh.com/book/Byron-Bay-hotels-285818.html
Australia,New South Wales,Cessnock,5,286076,http://www.sletoh.com/book/Cessnock-hotels-286076.html
Australia,New South Wales,Chatswood,3,286104,http://www.sletoh.com/book/Chatswood-hotels-286104.html
Australia,New South Wales,Coffs Harbour,14,286269,http://www.sletoh.com/book/Coffs-Harbour-hotels-286269.html
Australia,New South Wales,Coogee,3,286362,http://www.sletoh.com/book/Coogee-hotels-286362.html
Australia,New South Wales,Dubbo,7,286964,http://www.sletoh.com/book/Dubbo-hotels-286964.html
Australia,New South Wales,Goulburn,5,287843,http://www.sletoh.com/book/Goulburn-hotels-287843.html
Australia,New South Wales,Haymarket,3,288136,http://www.sletoh.com/book/Haymarket-hotels-288136.html
Australia,New South Wales,Katoomba,6,288648,http://www.sletoh.com/book/Katoomba-hotels-288648.html
Australia,New South Wales,Lismore,3,289279,http://www.sletoh.com/book/Lismore-hotels-289279.html
Australia,New South Wales,Manly,4,289552,http://www.sletoh.com/book/Manly-hotels-289552.html
Australia,New South Wales,Merrimbula,4,289777,http://www.sletoh.com/book/Merrimbula-hotels-289777.html
Australia,New South Wales,Nelson Bay,6,290601,http://www.sletoh.com/book/Nelson-Bay-hotels-290601.html
Australia,New South Wales,Newcastle,11,290646,http://www.sletoh.com/book/Newcastle-hotels-290646.html
Australia,New South Wales,Orange,4,290967,http://www.sletoh.com/book/Orange-hotels-290967.html
Australia,New South Wales,Parkes,3,291069,http://www.sletoh.com/book/Parkes-hotels-291069.html
Australia,New South Wales,Parramatta,5,291078,http://www.sletoh.com/book/Parramatta-hotels-291078.html
Australia,New South Wales,Pokolbin,7,291292,http://www.sletoh.com/book/Pokolbin-hotels-291292.html
Australia,New South Wales,Port Macquarie,14,291349,http://www.sletoh.com/book/Port-Macquarie-hotels-291349.html
Australia,New South Wales,Rosehill,3,291701,http://www.sletoh.com/book/Rosehill-hotels-291701.html
Australia,New South Wales,Ryde,3,291768,http://www.sletoh.com/book/Ryde-hotels-291768.html
Australia,New South Wales,Sydney,152,292279,http://www.sletoh.com/book/Sydney-hotels-292279.html
Australia,New South Wales,Tamworth,5,292351,http://www.sletoh.com/book/Tamworth-hotels-292351.html
Australia,New South Wales,Taree,4,292396,http://www.sletoh.com/book/Taree-hotels-292396.html
Australia,New South Wales,Terrigal,3,292502,http://www.sletoh.com/book/Terrigal-hotels-292502.html
Australia,New South Wales,Tweed Heads,3,292843,http://www.sletoh.com/book/Tweed-Heads-hotels-292843.html
Australia,New South Wales,Wagga Wagga,8,293041,http://www.sletoh.com/book/Wagga-Wagga-hotels-293041.html
Australia,New South Wales,Wollongong,8,293597,http://www.sletoh.com/book/Wollongong-hotels-293597.html
Australia,Northern Territory,Alice Springs,13,284435,http://www.sletoh.com/book/Alice-Springs-hotels-284435.html
Australia,Northern Territory,Darwin,29,286758,http://www.sletoh.com/book/Darwin-hotels-286758.html
Australia,Northern Territory,Katherine,3,288647,http://www.sletoh.com/book/Katherine-hotels-288647.html
Australia,Northern Territory,Yulara,3,294003,http://www.sletoh.com/book/Yulara-hotels-294003.html
Australia,Queensland,Airlie Beach,14,284403,http://www.sletoh.com/book/Airlie-Beach-hotels-284403.html
Australia,Queensland,Bargara,3,284801,http://www.sletoh.com/book/Bargara-hotels-284801.html
Australia,Queensland,Brisbane,74,285502,http://www.sletoh.com/book/Brisbane-hotels-285502.html
Australia,Queensland,Broadbeach,18,285507,http://www.sletoh.com/book/Broadbeach-hotels-285507.html
Australia,Queensland,Bundaberg,6,285679,http://www.sletoh.com/book/Bundaberg-hotels-285679.html
Australia,Queensland,Burleigh Heads,3,285740,http://www.sletoh.com/book/Burleigh-Heads-hotels-285740.html
Australia,Queensland,Cairns,71,285833,http://www.sletoh.com/book/Cairns-hotels-285833.html
Australia,Queensland,Caloundra,5,285860,http://www.sletoh.com/book/Caloundra-hotels-285860.html
Australia,Queensland,Coolangatta,4,286380,http://www.sletoh.com/book/Coolangatta-hotels-286380.html
Australia,Queensland,Coolum Beach,7,286394,http://www.sletoh.com/book/Coolum-Beach-hotels-286394.html
Australia,Queensland,Daintree,3,286675,http://www.sletoh.com/book/Daintree-hotels-286675.html
Australia,Queensland,Gladstone,5,287636,http://www.sletoh.com/book/Gladstone-hotels-287636.html
Australia,Queensland,Gold Coast,28,287755,http://www.sletoh.com/book/Gold-Coast-hotels-287755.html
Australia,Queensland,Hamilton,4,288064,http://www.sletoh.com/book/Hamilton-hotels-288064.html
