doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
uk_england_london_the_milestone_hotel,the milestone hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d193121-r50379994-The_Milestone_Hotel-London_England.html,-1,london,-1,UK,w8 5dl,-1,-1,127,4.897637795,4.779527559,4.913385827,4.779527559,4.503937008,0,4.77480315
uk_england_london_the_soho_hotel,the soho hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d497689-r50382625-The_Soho_Hotel-London_England.html,-1,london,-1,UK,w1d 3dh,-1,-1,170,4.958823529,4.894117647,4.764705882,4.817647059,4.329411765,0,4.752941176
uk_england_london_hotel_41,hotel 41,http://www.tripadvisor.com/ShowUserReviews-g186338-d188961-r50376471-Hotel_41-London_England.html,-1,london,-1,UK,sw1w 0ps,-1,-1,226,4.871681416,4.592920354,4.85840708,4.623893805,4.367256637,0,4.662831858
uk_england_london_sofitel_st_james_london,sofitel st james london,http://www.tripadvisor.com/ShowUserReviews-g186338-d236350-r50472487-Sofitel_St_James_London-London_England.html,-1,london,-1,UK,sw1y 4an,-1,-1,256,4.81640625,4.59765625,4.5859375,4.8671875,4.2578125,0,4.625
uk_england_london_the_halkin,the halkin,http://www.tripadvisor.com/ShowUserReviews-g186338-d187994-r50379452-The_Halkin-London_England.html,-1,london,-1,UK,sw1x 7dj,-1,-1,39,4.923076923,4.666666667,4.615384615,4.615384615,4.179487179,0,4.6
uk_england_london_the_montague_on_the_gardens,the montague on the gardens,http://www.tripadvisor.com/ShowUserReviews-g186338-d192036-r50447583-The_Montague_on_The_Gardens-London_England.html,-1,london,-1,UK,wc1b 5bj,-1,-1,301,4.803986711,4.328903654,4.80730897,4.77076412,4.335548173,0,4.609302326
uk_england_london_city_inn_westminster,city inn westminster,http://www.tripadvisor.com/ShowUserReviews-g186338-d275581-r50526124-City_Inn_Westminster-London_England.html,-1,london,-1,UK,sw1p 4dd,-1,-1,301,4.794019934,4.607973422,4.534883721,4.332225914,4.475083056,0,4.548837209
uk_england_london_apex_city_of_london,apex city of london,http://www.tripadvisor.com/ShowUserReviews-g186338-d572859-r50480332-Apex_City_of_London-London_England.html,-1,london,-1,UK,ec3n 4ax,-1,-1,301,4.830564784,4.674418605,4.544850498,4.451827243,4.488372093,0,4.598006645
uk_england_london_the_chesterfield_mayfair_hotel,the chesterfield mayfair hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d192064-r50367449-The_Chesterfield_Mayfair_Hotel-London_England.html,-1,london,-1,UK,w1j 5eb,-1,-1,301,4.823920266,4.358803987,4.707641196,4.813953488,4.38538206,0,4.617940199
uk_england_london_covent_garden_hotel,covent garden hotel,http://www.tripadvisor.com/ShowUserReviews-g186338-d188937-r48842321-Covent_Garden_Hotel-London_England.html,-1,london,-1,UK,wc2h 9hb,-1,-1,88,4.931818182,4.784090909,4.761363636,4.875,4.159090909,0,4.702272727
usa_nevada_las-vegas_staybridge_suites_las_vegas,staybridge suites las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d1197075-r50290103-Staybridge_Suites_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89118,-1,-1,104,4.884615385,4.913461538,4.721153846,4.259615385,4.855769231,0,4.726923077
